                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.38308,                0.38245,                  1.238,                0.32442,                0.32413,                0.32815,                0.32443,                0.33682,                0.37663,                 0.9632,              0.0013034,              0.0013034,              0.0013034
                     74,                0.36857,                0.38241,                 1.2361,                0.32471,                0.32413,                0.32928,                0.32365,                0.23913,                0.40206,                0.93274,              0.0013017,              0.0013017,              0.0013017
                     75,                0.39799,                0.37313,                  1.248,                 0.3246,                0.32413,                0.32854,                0.32455,                0.23824,                0.29892,                0.94669,              0.0012999,              0.0012999,              0.0012999
                     76,                0.39099,                0.38532,                  1.235,                 0.3244,                0.32413,                 0.3284,                0.31816,                0.27406,                0.32195,                 0.9278,              0.0012981,              0.0012981,              0.0012981
                     77,                0.37691,                0.38145,                 1.2368,                0.32314,                0.32505,                 0.3247,                 0.3184,                0.30233,                 0.3122,                0.98286,              0.0012964,              0.0012964,              0.0012964
                     78,                0.37396,                0.38117,                 1.2113,                0.32304,                0.32505,                0.32503,                0.32133,                0.25584,                 0.3975,                0.92804,              0.0012946,              0.0012946,              0.0012946
                     79,                0.36825,                0.37202,                 1.2142,                0.32026,                0.32505,                0.32394,                0.31832,                0.35423,                0.34227,                0.95893,              0.0012928,              0.0012928,              0.0012928
                     80,                0.37094,                0.38828,                 1.2114,                0.32232,                0.32505,                  0.329,                0.32516,                0.23451,                0.32154,                 0.9206,              0.0012911,              0.0012911,              0.0012911
                     81,                0.37353,                 0.3727,                 1.2196,                0.32413,                0.32431,                0.32821,                0.32106,                0.25803,                0.27088,                0.92793,              0.0012893,              0.0012893,              0.0012893
                     82,                 0.3924,                0.38287,                 1.2313,                0.32353,                0.32413,                 0.3291,                0.32502,                0.21567,                0.31835,                0.91832,              0.0012875,              0.0012875,              0.0012875
                     83,                0.38794,                0.38107,                 1.2404,                0.32252,                0.32413,                0.32764,                0.32317,                0.21882,                0.32726,                0.92063,              0.0012858,              0.0012858,              0.0012858
                     84,                0.36189,                0.35495,                 1.2193,                0.32392,                0.32505,                0.32573,                0.32288,                0.26397,                0.41891,                0.93662,               0.001284,               0.001284,               0.001284
                     85,                0.35049,                 0.3491,                  1.191,                0.32321,                0.32351,                0.32702,                0.32357,                0.23302,                 0.3391,                0.92084,              0.0012822,              0.0012822,              0.0012822
                     86,                 0.3649,                0.35252,                 1.1988,                0.32285,                0.32413,                0.32925,                 0.3256,                0.22504,                0.31452,                0.89641,              0.0012805,              0.0012805,              0.0012805
                     87,                0.37077,                0.37973,                 1.2027,                0.32504,                0.32466,                0.32802,                0.32369,                0.29872,                0.32122,                0.95438,              0.0012787,              0.0012787,              0.0012787
                     88,                0.35666,                0.36112,                 1.1774,                0.32293,                0.32505,                0.32788,                0.31672,                0.27879,                0.27144,                0.99781,              0.0012769,              0.0012769,              0.0012769
                     89,                0.35648,                0.36212,                 1.1851,                0.32187,                0.32505,                0.32654,                0.32167,                0.21674,                 0.2377,                0.90021,              0.0012752,              0.0012752,              0.0012752
                     90,                 0.3635,                0.38172,                 1.1806,                0.32351,                0.32413,                0.32725,                0.32066,                0.31382,                0.32642,                0.99787,              0.0012734,              0.0012734,              0.0012734
                     91,                0.35829,                0.35715,                 1.1971,                0.32287,                0.32505,                0.32823,                0.32348,                0.26952,                0.25276,                0.95703,              0.0012716,              0.0012716,              0.0012716
